D:\python3.6\python.exe D:/pyprojects/paddle/paper/BayesianCNN/baye_fc_paddle_raw/main.py
2021-08-21 11:53:32,150 | MNIST32: Prep | Loading datasets...
2021-08-21 11:53:35,489 | MNIST32: Prep | Train num:50000 | Val num:10000 | Test num:10000
2021-08-21 11:53:35,489 | MNIST32: Prep | Loading model...
W0821 11:53:35.490746 14408 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 8.6, Driver API Version: 11.3, Runtime API Version: 11.2
W0821 11:53:35.496744 14408 device_context.cc:422] device: 0, cuDNN Version: 8.1.
2021-08-21 11:53:38,470 | MNIST32: Prep | Model loaded!
2021-08-21 11:53:38,470 | MNIST32: Train | Training...
196it [00:07, 25.50it/s]
2021-08-21 11:53:48,838 | MNIST32: Epoch: 0 | Train Loss: 106031.4766 | Train Acc: 0.8858 | Val Loss: 9422.6585 | Val Acc: 0.9474 | train_kl_div: 7198610.9209
2021-08-21 11:53:48,838 | MNIST32: Val Acc ⬆ (-inf --> 0.9474).  Saving model ...
196it [00:06, 28.82it/s]
2021-08-21 11:53:58,575 | MNIST32: Epoch: 1 | Train Loss: 43430.6484 | Train Acc: 0.9616 | Val Loss: 7475.0661 | Val Acc: 0.9546 | train_kl_div: 7104386.1020
2021-08-21 11:53:58,575 | MNIST32: Val Acc ⬆ (0.9474 --> 0.9546).  Saving model ...
196it [00:06, 28.55it/s]
2021-08-21 11:54:08,385 | MNIST32: Epoch: 2 | Train Loss: 40163.1641 | Train Acc: 0.9752 | Val Loss: 6021.2968 | Val Acc: 0.9648 | train_kl_div: 7008661.5077
2021-08-21 11:54:08,385 | MNIST32: Val Acc ⬆ (0.9546 --> 0.9648).  Saving model ...
196it [00:06, 29.27it/s]
2021-08-21 11:54:18,148 | MNIST32: Epoch: 3 | Train Loss: 38303.2148 | Train Acc: 0.9830 | Val Loss: 4866.0073 | Val Acc: 0.9714 | train_kl_div: 6914979.4745
2021-08-21 11:54:18,148 | MNIST32: Val Acc ⬆ (0.9648 --> 0.9714).  Saving model ...
196it [00:06, 29.27it/s]
2021-08-21 11:54:27,790 | MNIST32: Epoch: 4 | Train Loss: 37308.1875 | Train Acc: 0.9853 | Val Loss: 4544.5871 | Val Acc: 0.9733 | train_kl_div: 6823804.4005
2021-08-21 11:54:27,790 | MNIST32: Val Acc ⬆ (0.9714 --> 0.9733).  Saving model ...
196it [00:06, 29.19it/s]
